pipeline_id,run_id,timestamp,ci_tool,repository,branch,commit_hash,author,language,os,cloud_provider,build_duration_sec,test_duration_sec,deploy_duration_sec,failure_stage,failure_type,error_code,error_message,severity,cpu_usage_pct,memory_usage_mb,retry_count,is_flaky_test,rollback_triggered,incident_created,error_anchor,injected_secret
pipe_8088,run_10,2026-01-04T19:18:16.927259,Jenkins,repo_487,develop,b621d7e964ca8ff228f0216e75bb3734f29603a4,user_400,NodeJS,ubuntu-latest,GCP,580,697,1329,build,Security Scan Failure,ERR_SEC_LICENSE,"##[group]Run npm ci && npm run build
trivy image checkout-api:latest (debian 12)
CRITICAL: CVE-2024-21538 in libssl3 3.0.11 - fixed in 3.0.14
exit code 1 due to --exit-code on CRITICAL",LOW,49.29,7663,1,False,False,False,CVE-2024-21538,
pipe_9062,run_11,2025-10-18T09:24:16.927259,CircleCI,repo_479,main,8170167c1dd0b8a6d538e66e34763f41dd44d86b,user_701,C++,windows-latest,On-Prem,1957,752,1255,test,Test Failure,ERR_TEST_ASSERT,"##[group]Run ctest --output-on-failure
[  FAILED  ] AuthTest.test_refund_flow (44 ms)
tests/auth_test.cpp:92: Failure
Expected equality of these values:
  4200
  3990",MEDIUM,83.97,31308,0,True,False,False,auth_test.cpp:92,
pipe_3480,run_12,2025-09-27T02:10:16.927259,Azure DevOps,repo_381,release,e615e679e3fa6501b4b24207639c796b2b84bdb0,user_130,C++,macos-latest,On-Prem,1204,606,1055,test,Test Failure,ERR_TEST_ASSERT,"##[group]Run ctest --output-on-failure
[  FAILED  ] CartTest.test_user_login (188 ms)
tests/cart_test.cpp:139: Failure
Expected equality of these values:
  4200
  3990",CRITICAL,34.02,26007,4,True,False,False,cart_test.cpp:139,
pipe_7576,run_13,2025-08-15T02:34:16.927259,Jenkins,repo_225,main,3c7040d40b9958868849eec0ed24f3f0ec9d504f,user_179,Go,ubuntu-latest,GCP,1109,161,328,test,Configuration Error,ERR_CFG_ENV_UNSET,"##[group]Run go test ./... -race
/bin/bash: line 160: ./scripts/billing.sh: command not found
Exited with code exit status 127",HIGH,63.55,10978,0,False,False,False,./scripts/billing.sh: command not found,
pipe_4277,run_14,2025-11-14T10:25:16.927259,GitLab CI,repo_248,main,54b5aef810652aba0d35f49b1689ac366c296d14,user_524,Java,ubuntu-latest,AWS,3060,369,178,build,Build Failure,ERR_BUILD_COMPILE,"##[group]Run mvn -B compile
[ERROR] src/main/java/cart/Charge.java:[92,32] incompatible types: String cannot be converted to int
[ERROR] BUILD FAILURE",MEDIUM,88.51,3738,4,False,False,False,"Charge.java:[92,32]",
pipe_4340,run_15,2026-01-09T06:17:16.927259,GitHub Actions,repo_500,main,7be635b550ea1aef54fdf7b70e6c2c2daae0f705,user_721,NodeJS,macos-latest,GCP,279,1644,812,build,Build Failure,ERR_BUILD_SYNTAX,"##[group]Run npx tsc --noEmit
src/auth/service.ts(219,7): error TS2345: Argument of type 'string' is not assignable to parameter of type 'number'.
Found 1 error. Build failed.",LOW,72.02,22045,2,False,False,False,"service.ts(219,7): error TS2345",
pipe_7293,run_16,2025-12-22T11:09:16.927259,GitLab CI,repo_459,feature-x,f8e876b3508da634d48f24a9b374a285bc506c20,user_230,Go,macos-latest,AWS,2557,1146,147,test,Security Scan Failure,ERR_SEC_CVE,"##[group]Run go test ./... -race
gitleaks: leak found in commit f8e876b3508d
Rule: generic-api-key   File: config/auth.env
Match: NPM_TOKEN=npm_7Kj3Mn9Pq2Rs5Tv8Wx1Yz4Ab6Cd0Ef
Pipeline blocked: rotate the credential.",LOW,90.23,13166,1,False,False,False,Rule: generic-api-key,npm_7Kj3Mn9Pq2Rs5Tv8Wx1Yz4Ab6Cd0Ef
pipe_6376,run_17,2025-10-17T11:09:16.927259,Jenkins,repo_9,feature-x,368959833b83ecc1b8a12273fb219b1b77bcde24,user_963,Go,windows-latest,AWS,2231,1300,1664,build,Dependency Error,ERR_DEP_AUTH,"##[group]Run go build ./...
[ERROR] Could not transfer artifact golang.org/x/net:2.19.9 from https://db-primary.prod.internal/repo
[ERROR] Authentication failed for GOPROXY_TOKEN=gop_4Rb7Tc1Vd6We3Yf0Xg5Hi9Jk2",MEDIUM,62.31,1156,1,False,False,False,db-primary.prod.internal/repo,gop_4Rb7Tc1Vd6We3Yf0Xg5Hi9Jk2
pipe_6958,run_18,2025-12-04T13:25:16.927259,GitHub Actions,repo_206,feature-x,18f29a3e68e0cb3f0879309f95bee21b7cf32954,user_254,Python,ubuntu-latest,GCP,732,1770,647,deploy,Timeout,ERR_TIMEOUT_STEP,"##[group]Run pip install -r requirements.txt
Waiting for lock on /home/ci-runner/work/billing/.gradle/caches ... timed out after 325s",LOW,40.51,508,5,False,True,False,.gradle/caches,
pipe_2797,run_19,2025-08-19T09:18:16.927259,CircleCI,repo_444,main,51079b23085d3694b66a401ef8c7d7b9bf25d9fa,user_263,Go,ubuntu-latest,Azure,291,1470,192,build,Dependency Error,ERR_DEP_NOT_FOUND,"##[group]Run go build ./...
go: golang.org/x/net@v5.13.8: reading https://proxy.golang.org/golang.org/x/net/@v/v5.13.8.mod: 404 Not Found
go: error loading module requirements",MEDIUM,86.47,12149,2,False,False,False,golang.org/x/net@v5.13.8,
pipe_8438,run_20,2025-11-17T18:32:16.927259,CircleCI,repo_484,release,55f9db0b6cfaae88b35a5ed53f65ca1a8cb4cf06,user_974,NodeJS,macos-latest,On-Prem,2599,1275,669,build,Build Failure,ERR_BUILD_COMPILE,"##[group]Run npx tsc --noEmit
src/auth/service.ts(146,7): error TS2345: Argument of type 'string' is not assignable to parameter of type 'number'.
Found 1 error. Build failed.",LOW,80.32,29752,4,False,False,False,"service.ts(146,7): error TS2345",
pipe_9789,run_21,2025-09-21T16:41:16.927259,GitLab CI,repo_135,feature-x,6ff9531a33a3afaa66d9a4ce037d70334c484cdc,user_967,C++,windows-latest,On-Prem,1323,560,639,deploy,Deployment Failure,ERR_DEPLOY_QUOTA,"##[group]Run cmake --build build -j4
error: deployment ""billing-worker"" exceeded its progress deadline
Waiting for rollout to finish: 3 of 8 updated replicas are available...",MEDIUM,27.21,26372,5,False,True,False,"deployment ""billing-worker"" exceeded its progress deadline",
pipe_2304,run_22,2025-09-29T02:25:16.927259,Jenkins,repo_486,release,df6d8684ae40b328550ae453d09bf1339e45ee8c,user_500,Rust,macos-latest,AWS,1833,2318,1345,build,Dependency Error,ERR_DEP_NOT_FOUND,"##[group]Run cargo build --release
[ERROR] Could not transfer artifact clap:5.7.8 from https://api-gateway.prod.internal/repo
[ERROR] Authentication failed for CARGO_REGISTRY_TOKEN=cio1Ab2Cd3Ef4Gh5Ij6Kl7Mn8Op",HIGH,43.6,27627,0,False,False,True,api-gateway.prod.internal/repo,cio1Ab2Cd3Ef4Gh5Ij6Kl7Mn8Op
pipe_2633,run_23,2025-10-18T21:08:16.927259,GitLab CI,repo_432,main,8ffc67c3b79645c86736d4df437999d556b10234,user_18,C++,macos-latest,Azure,1685,2209,306,test,Permission Error,ERR_PERM_DENIED,"##[group]Run ctest --output-on-failure
Error: resource is not accessible by integration.
Token scope missing 'packages:write' for AWS_SECRET_ACCESS_KEY=AKIA4XQ2LMNOP7RSTUVW",MEDIUM,68.5,28776,1,False,False,False,Token scope missing 'packages:write',AKIA4XQ2LMNOP7RSTUVW
pipe_5665,run_24,2025-11-20T18:37:16.927259,GitLab CI,repo_388,feature-x,3a8e287172423551a243a3abee3667b1c753a04d,user_315,Rust,ubuntu-latest,On-Prem,678,106,784,test,Resource Exhaustion,ERR_RES_OOM,"##[group]Run cargo test --all
No space left on device
failed to write /home/jenkins/work/payments/target: disk usage 96% of 200GB",CRITICAL,96.16,31308,2,False,False,True,No space left on device,
pipe_3546,run_25,2025-12-29T08:36:16.927259,GitHub Actions,repo_213,feature-x,1bca5575ee410e3076b4415883a9dbda8d371809,user_596,Java,ubuntu-latest,AWS,243,1476,1164,test,Configuration Error,ERR_CFG_PARSE,"##[group]Run mvn -B test
yaml: line 163: did not find expected key
ERROR: config validation failed for job 'search-test'",MEDIUM,40.96,19288,5,False,False,False,did not find expected key,
pipe_7894,run_26,2026-01-08T17:49:16.927259,GitHub Actions,repo_332,release,a65cb09dfa32b0754a8ec4c9828707cc3bf4602f,user_788,Java,ubuntu-latest,AWS,2349,1681,1558,deploy,Deployment Failure,ERR_DEPLOY_HEALTHCHECK,"##[group]Run mvn -B package -DskipTests
Error: UPGRADE FAILED: cannot patch ""user-service"" with kind Deployment: Operation cannot be fulfilled on deployments.apps ""user-service""",MEDIUM,54.88,8518,4,False,False,False,"UPGRADE FAILED: cannot patch ""user-service""",
pipe_1167,run_27,2025-11-23T21:54:16.927259,CircleCI,repo_407,feature-x,2c9e67a23cf4c436b99638c5381b47b9c2819e60,user_796,Python,macos-latest,Azure,2367,744,1357,build,Resource Exhaustion,ERR_RES_CPU,"##[group]Run pip install -r requirements.txt
No space left on device
failed to write /home/buildbot/work/payments/target: disk usage 99% of 50GB",HIGH,93.68,31618,2,False,False,False,No space left on device,
pipe_2850,run_28,2025-10-20T14:51:16.927259,CircleCI,repo_182,release,783eeac5c36feb640e1a441d044315c2bb91b217,user_666,Rust,macos-latest,Azure,1105,2362,1381,build,Security Scan Failure,ERR_SEC_SECRET_FOUND,"##[group]Run cargo build --release
cargo audit: found 8 vulnerabilities (3 critical)
CVE-2023-45857 affects serde < 5.22.3
Severity: critical. Pipeline blocked by policy.",MEDIUM,32.28,13935,2,False,False,False,CVE-2023-45857,
pipe_3385,run_29,2025-10-29T19:39:16.927259,GitLab CI,repo_80,release,9ea818f273fe72237a570bee6b072b79b5794ef2,user_161,Go,ubuntu-latest,On-Prem,3414,661,371,test,Resource Exhaustion,ERR_RES_CPU,"##[group]Run go test ./... -race
No space left on device
failed to write /home/azurepipelines/work/auth/target: disk usage 96% of 200GB",LOW,95.85,31240,0,False,False,False,No space left on device,
pipe_2637,run_30,2025-12-13T18:01:16.927259,GitHub Actions,repo_116,feature-x,f32ffedbf734ba92406df3125ecfc1de18658319,user_916,Python,macos-latest,AWS,3585,604,646,test,Test Failure,ERR_TEST_ASSERT,"##[group]Run pytest -q --maxfail=1
FAILED tests/test_search.py::test_checkout_total - AssertionError: assert 404 == 200
E       assert response.status_code == 200
E        +  where 404 = <Response [404]>.status_code
1 failed, 47 passed in 19s",MEDIUM,71.51,22620,0,False,False,False,tests/test_search.py::test_checkout_total,
pipe_5460,run_31,2025-12-06T22:00:16.927259,CircleCI,repo_25,release,abde95acd4edad1132aa0332d565b3a0aa7eba9f,user_793,NodeJS,windows-latest,AWS,497,637,281,test,Security Scan Failure,ERR_SEC_SECRET_FOUND,"##[group]Run npm test
gitleaks: leak found in commit abde95acd4ed
Rule: generic-api-key   File: config/billing.env
Match: GOOGLE_API_KEY=AIzaSyD3aBcDeFgHiJkLmNoPqRsTuVwXyZ12345
Pipeline blocked: rotate the credential.",HIGH,85.0,13649,1,False,False,False,Rule: generic-api-key,AIzaSyD3aBcDeFgHiJkLmNoPqRsTuVwXyZ12345
pipe_4543,run_32,2025-12-06T03:59:16.927259,GitHub Actions,repo_403,feature-x,c98944257b50cd1d45b9a87df1719a19a6f73acd,user_766,NodeJS,macos-latest,GCP,1328,2183,671,test,Permission Error,ERR_PERM_DENIED,"##[group]Run npm test
docker: Got permission denied while trying to connect to the Docker daemon socket at unix:///var/run/docker.sock",MEDIUM,91.99,9578,3,False,False,False,docker.sock,
pipe_3652,run_33,2025-12-12T21:44:16.927259,CircleCI,repo_73,main,384c91ab64b76bae117931d7465b9b2911edc986,user_423,Go,ubuntu-latest,AWS,535,1787,474,build,Build Failure,ERR_BUILD_COMPILE,"##[group]Run go build ./...
./cart/main.go:14:6: undefined: ComputeTotal
./cart/main.go:165:2: imported and not used: ""fmt""
exit status 2",LOW,31.39,8926,1,False,False,False,main.go:14:6: undefined: ComputeTotal,
pipe_8529,run_34,2026-01-12T18:48:16.927259,Azure DevOps,repo_357,feature-x,3369a739a515b1b291bc56b46c2a381f86f81e58,user_688,NodeJS,windows-latest,Azure,445,69,1515,deploy,Deployment Failure,ERR_DEPLOY_QUOTA,"##[group]Run npm ci && npm run build
Error: UPGRADE FAILED: cannot patch ""billing-worker"" with kind Deployment: Operation cannot be fulfilled on deployments.apps ""billing-worker""",CRITICAL,70.28,29891,4,False,True,False,"UPGRADE FAILED: cannot patch ""billing-worker""",
pipe_8582,run_35,2026-01-02T03:01:16.927259,GitHub Actions,repo_4,release,51ac6b2f4fa7449848a927363108745e182f52f1,user_891,NodeJS,ubuntu-latest,On-Prem,2565,191,1488,deploy,Timeout,ERR_TIMEOUT_DEADLINE,"##[group]Run npm ci && npm run build
curl: (28) Operation timed out after 5000 milliseconds with 0 bytes received
fatal: unable to access 'https://registry.npmjs.org/left-pad': timed out",CRITICAL,59.17,24817,5,False,False,False,Operation timed out,
pipe_8411,run_36,2025-12-02T20:22:16.927259,GitLab CI,repo_458,develop,556eb2173c241714281a97852e8bfcbaaafc8d21,user_574,C++,macos-latest,GCP,2492,1108,1364,build,Build Failure,ERR_BUILD_SYNTAX,"##[group]Run cmake --build build -j4
src/payments.cpp:129:19: error: no matching function for call to 'compute(std::string)'
compilation terminated.
make: *** [Makefile:42: build] Error 1",LOW,73.83,23700,1,False,False,False,payments.cpp:129:19,
pipe_5713,run_37,2026-01-08T21:54:16.927259,GitHub Actions,repo_107,main,6fb6ada8410bb158dbce886557b7c3e38c30d3fd,user_651,Java,windows-latest,GCP,470,1752,406,deploy,Permission Error,ERR_PERM_TOKEN_SCOPE,"##[group]Run mvn -B package -DskipTests
EACCES: permission denied, open '/home/ci-runner/.npm/_cacache/index-v5/spring-core'
npm ERR! Your cache folder contains root-owned files",MEDIUM,83.45,12749,1,False,False,False,.npm/_cacache,
pipe_2756,run_38,2025-11-13T06:20:16.927259,GitHub Actions,repo_448,release,1616df9386e89a00bd9c27399bf4cf2c3bbe13d9,user_17,NodeJS,ubuntu-latest,On-Prem,2182,1320,1320,deploy,Network Error,ERR_NET_REFUSED,"##[group]Run npm ci && npm run build
Error: connect ECONNREFUSED 127.0.0.1:5432
Hint: verify the target host. DOCKER_REGISTRY_PASSWORD=dckr_pat_Xy7Zw2Vu9Ts4Rq1Po6Nm3Lk",MEDIUM,30.9,8205,4,False,True,False,ECONNREFUSED 127.0.0.1:5432,dckr_pat_Xy7Zw2Vu9Ts4Rq1Po6Nm3Lk
pipe_1202,run_39,2025-11-22T02:55:16.927259,Azure DevOps,repo_115,release,ba6c4e6aee42bec207450bfe05f56117c2814b92,user_11,Java,windows-latest,On-Prem,1320,421,1324,build,Security Scan Failure,ERR_SEC_CVE,"##[group]Run mvn -B package -DskipTests
trivy image search-indexer:latest (debian 12)
CRITICAL: CVE-2022-25883 in libssl3 3.0.11 - fixed in 3.0.14
exit code 1 due to --exit-code on CRITICAL",MEDIUM,94.19,27227,1,False,False,False,CVE-2022-25883,
pipe_7376,run_40,2025-12-02T02:59:16.927259,Jenkins,repo_359,release,5eb14be98fa55a22758fa50ed362fb162c54a1ce,user_474,Rust,ubuntu-latest,Azure,1187,2132,39,test,Timeout,ERR_TIMEOUT_DEADLINE,"##[group]Run cargo test --all
context deadline exceeded (Client.Timeout exceeded while awaiting headers)
GET https://db-primary.prod.internal/v2/status: dial tcp: i/o timeout",LOW,23.58,4123,3,False,False,False,context deadline exceeded,
pipe_3249,run_41,2025-11-14T00:13:16.927259,GitLab CI,repo_316,feature-x,fa711d3950d1b4340589219a016be909b81dea14,user_655,Java,ubuntu-latest,AWS,722,1251,1364,build,Network Error,ERR_NET_DNS,"##[group]Run mvn -B package -DskipTests
Error: connect ECONNREFUSED 127.0.0.1:5432
Hint: verify the target host. STRIPE_API_KEY=sk_live_51H8xKlMnOpQrStUvWxYz",CRITICAL,36.93,18552,3,False,False,True,ECONNREFUSED 127.0.0.1:5432,sk_live_51H8xKlMnOpQrStUvWxYz
pipe_9651,run_42,2025-09-23T12:52:16.927259,GitLab CI,repo_46,release,4799fe63e4aa4342766241951360e0913b5fa576,user_557,Java,ubuntu-latest,AWS,2259,1423,1746,test,Dependency Error,ERR_DEP_CONFLICT,"##[group]Run mvn -B test
[ERROR] Failed to execute goal on project search: Could not resolve dependencies
[ERROR] Could not find artifact guava:jar:4.11.6 in central (https://repo.maven.apache.org/maven2)",HIGH,81.77,19000,3,False,False,True,guava:jar:4.11.6,
pipe_1586,run_43,2025-08-31T11:48:16.927259,Azure DevOps,repo_116,develop,dbf58f8d4a630b648a789e893af5d68398ca0b43,user_327,NodeJS,ubuntu-latest,AWS,2760,1437,28,build,Timeout,ERR_TIMEOUT_STEP,"##[group]Run npm ci && npm run build
context deadline exceeded (Client.Timeout exceeded while awaiting headers)
GET https://api-gateway.prod.internal/v2/status: dial tcp: i/o timeout",MEDIUM,46.56,25793,4,False,False,False,context deadline exceeded,
pipe_1893,run_44,2026-02-08T07:05:16.927259,GitHub Actions,repo_335,develop,03f5b5fda66a4a280f614ef6a9c480913296905f,user_835,Java,macos-latest,GCP,1708,105,851,test,Security Scan Failure,ERR_SEC_SECRET_FOUND,"##[group]Run mvn -B test
trivy image search-indexer:latest (debian 12)
CRITICAL: CVE-2023-45857 in libssl3 3.0.11 - fixed in 3.0.14
exit code 1 due to --exit-code on CRITICAL",HIGH,69.18,4807,0,False,False,False,CVE-2023-45857,
pipe_5824,run_45,2025-10-06T08:33:16.927259,Jenkins,repo_236,develop,3be71fc224c6ce153b95bea25346478079c3c688,user_409,NodeJS,macos-latest,On-Prem,2288,1634,831,deploy,Configuration Error,ERR_CFG_MISSING_KEY,"##[group]Run npm ci && npm run build
/bin/bash: line 124: ./scripts/cart.sh: command not found
Exited with code exit status 127",LOW,32.08,8161,4,False,False,False,./scripts/cart.sh: command not found,
pipe_5187,run_46,2025-08-18T20:52:16.927259,CircleCI,repo_49,feature-x,615c2e9a0a60e3a2ab96ec541d1b0e9824972eb7,user_858,Java,ubuntu-latest,AWS,529,752,1559,build,Build Failure,ERR_BUILD_LINK,"##[group]Run mvn -B compile
[ERROR] src/main/java/search/Charge.java:[23,32] incompatible types: String cannot be converted to int
[ERROR] BUILD FAILURE",LOW,46.16,6067,5,False,False,False,"Charge.java:[23,32]",
pipe_9649,run_47,2025-09-26T23:43:16.927259,GitHub Actions,repo_85,develop,28756d63cd34c3e70df61edd9f180f4b450728b5,user_793,NodeJS,windows-latest,On-Prem,161,1076,316,test,Network Error,ERR_NET_REFUSED,"##[group]Run npm test
requests.exceptions.SSLError: HTTPSConnectionPool(host='artifactory.internal.corp', port=443): certificate verify failed: unable to get local issuer certificate",HIGH,65.67,14973,2,False,False,True,host='artifactory.internal.corp',
pipe_5723,run_48,2025-12-02T00:43:16.927259,Azure DevOps,repo_386,develop,48dbaab30b0ba08542191568f2e65e48723fc1e8,user_45,Java,windows-latest,Azure,1787,1214,260,build,Resource Exhaustion,ERR_RES_CPU,"##[group]Run mvn -B package -DskipTests
java.lang.OutOfMemoryError: Java heap space
	at search.Aggregator.collect(Aggregator.java:196)
Terminating due to java.lang.OutOfMemoryError",LOW,99.83,30776,2,False,False,False,java.lang.OutOfMemoryError,
pipe_4853,run_49,2025-11-25T12:23:16.927259,Jenkins,repo_164,develop,e34b81d1a12cbbdc1296c82ab4aa4e1146a97119,user_40,NodeJS,windows-latest,GCP,1749,1135,27,test,Dependency Error,ERR_DEP_CONFLICT,"##[group]Run npm test
npm ERR! code E404
npm ERR! 404 Not Found - GET https://registry.npmjs.org/axios - Not found
npm ERR! 404 'axios@4.12.7' is not in this registry.",CRITICAL,76.44,28296,5,False,False,True,registry.npmjs.org/axios,
pipe_8257,run_50,2025-09-25T08:09:16.927259,GitLab CI,repo_241,release,b7e7f604e318371c8d828c7c59d046dfae7db240,user_581,Rust,windows-latest,GCP,3364,1429,1542,deploy,Deployment Failure,ERR_DEPLOY_ROLLOUT,"##[group]Run cargo build --release
Error: UPGRADE FAILED: cannot patch ""checkout-api"" with kind Deployment: Operation cannot be fulfilled on deployments.apps ""checkout-api""",MEDIUM,27.85,21686,0,False,True,False,"UPGRADE FAILED: cannot patch ""checkout-api""",
pipe_4419,run_51,2025-11-26T22:59:16.927259,Azure DevOps,repo_116,main,2d3db867db7a66069aa46bb804f32f2ed2b49450,user_49,Go,windows-latest,GCP,2962,910,501,test,Test Failure,ERR_TEST_ASSERT,"##[group]Run go test ./... -race
--- FAIL: TestAuthHandler (4.59s)
    handler_test.go:36: expected status 200, got 503
FAIL	github.com/org/auth	exit status 1",LOW,45.91,24742,4,True,False,False,handler_test.go:36,
pipe_8433,run_52,2025-10-14T01:34:16.927259,GitLab CI,repo_17,release,e3474f706fba1f2c71e956cfe9ba1b3eb0ebe2e3,user_78,Java,macos-latest,Azure,2216,784,561,build,Build Failure,ERR_BUILD_LINK,"##[group]Run mvn -B compile
[ERROR] src/main/java/billing/Charge.java:[125,32] incompatible types: String cannot be converted to int
[ERROR] BUILD FAILURE",LOW,54.65,19994,5,False,False,False,"Charge.java:[125,32]",
pipe_4960,run_53,2025-12-31T02:35:16.927259,GitLab CI,repo_161,develop,c8ebe3796867931d74f92169345e94569b542c25,user_704,NodeJS,macos-latest,GCP,3244,2005,731,deploy,Deployment Failure,ERR_DEPLOY_QUOTA,"##[group]Run npm ci && npm run build
Readiness probe failed: HTTP probe failed with statuscode: 503
pod billing-worker-65123 restarting, back-off pulling image",HIGH,28.98,22404,4,False,True,False,Readiness probe failed,
pipe_4497,run_54,2025-09-03T08:58:16.927259,GitLab CI,repo_129,main,b9acc6985c26b9276324bbee45caf62367d1236d,user_161,NodeJS,windows-latest,GCP,3323,1106,251,test,Network Error,ERR_NET_DNS,"##[group]Run npm test
Error: connect ECONNREFUSED db-primary.prod.internal:8080
    at TCPConnectWrap.afterConnect [as oncomplete]",MEDIUM,38.75,22754,2,False,False,False,ECONNREFUSED db-primary.prod.internal:8080,
pipe_7873,run_55,2025-10-11T09:00:16.927259,CircleCI,repo_154,release,dfb525da67811fd7b5e20a0adaa150a9b9fbae70,user_865,Rust,ubuntu-latest,AWS,631,1097,647,test,Resource Exhaustion,ERR_RES_CPU,"##[group]Run cargo test --all
Killed
make: *** [Makefile:42: build] Error 137
Container exceeded its memory limit of 8192MB (OOMKilled)",MEDIUM,95.06,30281,5,False,False,False,Error 137,
